#frame,fps
0,6.457512
1,4.123343
2,3.423487
3,3.765841
4,4.177451
5,4.63617
6,5.102306
7,5.661438
8,6.282184
9,6.903664
10,7.651468
11,8.481647
12,9.403746
13,10.41751
14,11.53506
15,12.75984
16,14.10951
17,15.60984
18,17.2654
19,19.06792
20,21.06534
21,23.2289
22,25.62615
23,28.24779
24,31.08508
25,34.2389
26,37.55936
27,41.2447
28,45.27051
29,49.53222
30,54.24611
31,59.12674
32,64.4413
33,70.0903
34,76.09859
35,82.77554
36,89.49036
37,96.45361
38,103.5143
39,111.6161
40,119.8855
41,128.2959
42,136.9129
43,145.3405
44,153.1259
45,162.7565
46,172.3543
47,178.2416
48,189.4993
49,197.6199
50,205.0635
51,214.2482
52,223.3611
53,229.0557
54,240.4693
55,245.3126
56,255.136
57,260.0895
58,270.8708
59,279.9648
60,285.9799
61,290.7996
62,289.0912
63,298.6569
64,306.092
65,308.1463
66,314.8862
67,313.6423
68,305.1822
69,322.08
70,330.2928
71,336.3227
72,335.5984
73,326.8106
74,336.5588
75,339.6746
76,337.353
77,345.1145
78,342.9449
79,337.9008
80,343.4168
81,346.5073
82,347.3853
83,350.546
84,347.6237
85,346.3604
86,345.8066
87,351.9812
88,353.9579
89,348.6549
90,352.9766
91,352.829
92,354.2769
93,338.7746
94,348.3211
95,353.7966
96,336.5435
97,342.3725
98,353.6398
99,348.4524
100,358.7677
101,355.9191
102,349.1078
103,357.6371
104,363.3342
105,357.3958
106,362.5215
107,360.0268
108,359.1407
109,357.3354
110,356.0528
111,360.8174
112,361.4053
113,362.8686
114,356.6414
115,351.7444
116,354.6003
117,357.0308
118,357.6588
119,359.2748
120,357.8463
121,347.7068
122,352.9319
123,356.2462
124,357.7507
125,357.2375
126,357.4374
127,357.8364
128,360.4765
129,360.6105
130,360.4022
131,363.3985
132,356.8421
133,353.3526
134,355.1867
135,356.7633
136,355.9719
137,352.1884
138,351.5753
139,354.5902
140,349.0278
141,360.4629
142,361.0031
143,358.3672
144,350.3743
145,349.5976
146,353.4895
147,356.4955
148,353.7011
149,349.7896
150,346.1735
151,347.421
152,354.0027
153,355.2356
154,356.6868
155,350.4367
156,352.6461
157,351.286
158,350.8778
159,354.5388
160,356.0114
161,349.128
162,350.3497
163,352.2017
164,349.6377
165,357.1884
166,359.1968
167,356.8854
168,358.5748
169,349.5396
170,356.9114
171,354.3167
172,356.8764
173,355.7818
174,350.2909
175,349.2567
176,355.7211
177,356.9463
178,356.9596
179,347.55
180,357.8784
181,356.7554
182,357.7105
183,364.8382
184,361.5647
185,354.801
186,354.3733
187,353.229
188,355.7969
189,358.2839
190,351.1859
191,356.0537
192,354.3123
193,354.445
194,358.5321
195,358.1783
196,356.3734
197,349.7249
198,352.0803
199,351.2722
200,355.4247
201,354.8916
202,353.6998
203,349.8497
204,352.5244
205,354.0168
206,351.7321
207,358.0719
208,358.9992
209,352.9193
210,358.6957
211,341.4157
212,354.3872
213,359.5098
214,354.6088
215,354.7637
216,356.4109
217,355.9245
218,359.2385
219,360.1048
220,353.2929
221,351.0692
222,351.0315
223,357.1144
224,357.888
225,359.3821
226,355.5343
227,350.7564
228,355.2419
229,351.3216
230,358.4364
231,360.7496
232,355.2467
233,355.3938
234,357.5269
235,358.9745
236,359.6861
237,361.886
238,348.5144
239,355.7188
240,355.552
241,360.422
242,361.0248
243,361.4802
244,358.8006
245,359.798
246,356.2721
247,360.0529
248,360.3159
249,355.461
250,350.9716
251,353.4131
252,357.1154
253,358.9551
254,354.1946
255,359.727
256,359.4281
257,353.2174
258,357.188
259,356.6803
260,356.3654
261,357.0539
262,355.3461
263,352.0232
264,353.7857
265,353.0509
266,357.4688
267,358.7068
268,355.9221
269,354.5844
270,350.8424
271,356.685
272,356.8109
273,357.7428
274,350.0856
275,355.5822
276,353.7831
277,357.0725
278,356.188
279,357.927
280,354.994
281,342.5485
282,350.2204
283,353.1459
284,353.9821
285,346.9402
286,352.1664
287,356.1748
288,360.8416
289,358.3164
290,360.8016
291,359.2876
292,348.1037
293,352.9993
294,353.9598
295,356.1479
296,355.6732
297,351.3219
298,348.9581
299,354.5023
300,356.9503
301,356.3132
302,355.6178
303,353.9476
304,349.7483
305,349.9135
306,353.037
307,357.9012
308,362.2584
309,357.7095
310,355.9544
311,359.6846
312,360.1706
313,356.8528
314,361.0867
315,358.435
316,355.2794
317,347.7538
318,352.2469
319,359.0205
320,352.8905
321,351.3498
322,354.4642
323,352.9038
324,360.372
325,359.2316
326,364.1134
327,356.5714
328,351.6769
329,351.7699
330,354.0436
331,356.1635
332,357.4301
333,355.0815
334,350.6399
335,353.7824
336,355.9458
337,358.3504
338,357.91
339,352.709
340,353.2223
341,355.5542
342,356.2535
343,357.879
344,359.7398
345,347.4227
346,351.9027
347,354.5226
348,355.5486
349,354.6175
350,352.8388
351,351.8153
352,354.3222
353,355.4341
354,359.1586
355,353.6773
356,346.6201
357,353.6165
358,354.9031
359,358.1658
360,361.4449
361,353.3187
362,359.3522
363,351.2338
364,356.8452
365,353.8743
366,358.489
367,357.1126
368,360.521
369,348.8067
370,355.8573
371,354.914
372,353.7512
373,353.4829
374,355.458
375,351.1341
376,354.3067
377,355.9299
378,358.0088
379,360.5949
380,356.7052
381,354.5707
382,351.4332
383,359.1217
384,361.0038
385,362.1576
386,357.7451
387,350.5651
388,351.5317
389,358.6795
390,360.282
391,362.61
392,351.324
393,355.5091
394,357.2793
395,356.8781
396,360.0671
397,358.8546
398,353.8421
399,352.5512
400,355.8578
401,356.2002
402,355.6721
403,346.4222
404,352.4545
405,351.0137
406,356.1086
407,351.8824
408,359.8452
409,360.1325
410,356.7606
411,353.1859
412,354.9091
413,356.9261
414,355.0845
415,360.4035
416,355.3129
417,355.1882
418,357.5991
419,355.8915
420,357.3866
421,360.4082
422,357.4213
423,353.0928
424,354.9756
425,353.8739
426,359.8859
427,354.0434
428,351.4307
429,354.0311
430,350.7813
431,356.7783
432,360.7783
433,358.3501
434,352.2553
435,350.8938
436,354.1517
437,357.4002
438,357.2826
439,361.4709
440,343.46
441,353.4028
442,353.4794
443,356.3859
444,360.8633
445,357.8382
446,349.4813
447,339.2804
448,346.3032
449,353.1149
450,357.1703
451,358.5532
452,348.6631
453,358.0959
454,354.9644
455,356.2808
456,358.5814
457,353.4218
458,350.3986
459,352.6512
460,353.6072
461,355.475
462,353.3702
463,344.5633
464,361.4647
465,359.1748
466,361.8673
467,360.7244
468,360.9379
469,359.164
470,351.4581
471,358.6028
472,356.0974
473,353.3796
474,356.1537
475,355.9924
476,354.1096
477,353.4149
478,350.7514
479,358.1341
480,360.3558
481,351.8004
482,357.0435
483,351.1407
484,353.7025
485,352.4948
486,356.5775
487,355.1256
488,352.2547
489,355.8897
490,354.729
491,355.0547
492,357.7983
493,348.4632
494,350.1683
495,353.699
496,355.9445
497,355.1094
498,355.1313
499,346.3714
500,347.9306
501,354.991
502,356.7968
503,360.3871
504,358.1977
505,347.2549
506,349.8392
507,356.1126
508,354.1227
509,356.6865
510,349.142
511,352.8609
512,352.9217
513,356.5277
514,358.6032
515,354.9311
516,345.8624
517,351.216
518,352.5365
519,356.9787
520,359.0537
521,359.233
522,358.7318
523,352.0695
524,355.4743
525,357.5542
526,350.0284
527,349.933
528,359.154
529,355.2576
530,356.5034
531,351.9131
532,358.5528
533,360.5071
534,356.6915
535,352.6642
536,354.2089
537,354.9317
538,356.9568
539,358.5587
540,355.303
541,352.984
542,353.7018
543,358.9019
544,357.8216
545,357.6218
546,355.2089
547,346.737
548,349.6702
549,353.7089
550,355.1319
551,355.3294
552,348.7333
553,350.8662
554,354.3988
555,353.8267
556,357.562
557,358.1911
558,345.7975
559,350.0801
560,351.3654
561,355.1444
562,355.8871
563,354.9369
564,350.4011
565,353.5549
566,352.5368
567,355.6612
568,351.7289
569,353.4145
570,348.2276
571,352.2397
572,351.7277
573,354.7625
574,357.337
575,352.5644
576,351.3846
577,355.1961
578,354.9243
579,352.3544
580,357.4088
581,354.9908
582,348.5976
583,353.0284
584,348.1106
585,353.8664
586,352.7383
587,350.2361
588,347.0421
589,347.4919
590,349.5307
591,354.7017
592,356.4257
593,352.7548
594,348.2673
595,350.3877
596,354.3594
597,355.132
598,340.1663
599,351.7875
600,351.6926
601,355.4136
602,358.8563
603,357.9972
604,360.9605
605,348.9016
606,354.5529
607,355.5027
608,356.2209
609,355.8045
610,354.0589
611,346.9511
612,352.5826
613,349.8016
614,353.3073
615,351.6994
616,346.3607
617,347.3914
618,349.3685
619,352.5128
620,356.0127
621,351.2346
622,350.3203
623,348.8432
624,352.0599
625,351.286
626,352.4907
627,356.0304
628,349.1822
629,353.4842
630,353.7177
631,356.3028
632,348.1892
633,357.5066
634,354.2926
635,355.3328
636,355.8482
637,351.3965
638,358.242
639,358.9416
640,356.4654
641,354.0237
642,353.464
643,357.4406
644,360.6279
645,362.6595
646,356.2565
647,355.1919
648,352.4152
649,358.5623
650,358.3312
651,359.0107
652,356.7022
653,352.1768
654,352.2981
655,355.9118
656,358.1564
657,356.3083
658,350.9052
659,350.2302
660,347.1705
661,352.5937
662,354.841
663,358.7101
664,348.267
665,354.583
666,357.9979
667,359.5478
668,351.3451
669,344.4233
670,354.9708
671,355.7149
672,356.6059
673,356.3863
674,353.4343
675,358.5872
676,354.2243
677,356.4271
678,357.4377
679,357.3596
680,359.3811
681,361.8514
682,352.0781
683,354.2305
684,357.489
685,355.3976
686,360.1728
687,358.3882
688,353.0184
689,352.7073
690,356.9337
691,358.9264
692,358.481
693,356.5058
694,350.0612
695,354.9802
696,353.1818
697,355.0982
698,359.336
699,354.9801
700,353.4514
701,352.3076
702,357.0592
703,358.7855
704,357.9441
705,356.6653
706,350.3321
707,356.0289
708,359.058
709,356.8767
710,363.0397
711,356.6324
712,352.216
713,357.2398
714,355.5876
715,355.8705
716,356.1748
717,347.0139
718,348.8884
719,351.5641
720,351.7673
721,353.5943
722,353.7432
723,354.7459
724,348.9273
725,345.7356
726,353.8275
727,352.894
728,353.9609
729,349.5533
730,352.3851
731,353.2765
732,355.8441
733,355.0446
734,358.7711
735,350.6627
736,357.7665
737,357.1394
738,354.7276
739,355.6595
740,358.2303
741,349.4915
742,349.5806
743,348.7732
744,353.0719
745,354.6394
746,354.644
747,350.3135
748,354.3188
749,354.9806
750,356.3131
751,361.3855
752,357.3311
753,349.4301
754,341.8847
755,351.4548
756,340.5305
757,350.3909
758,353.3969
759,350.2061
760,353.5811
761,357.8464
762,359.7076
763,362.3855
764,351.6653
765,344.5304
766,350.0271
767,358.0881
768,359.653
769,361.5822
770,349.7139
771,355.4858
772,354.9615
773,358.3399
774,358.4548
775,360.8654
776,360.1637
777,356.9015
778,357.2444
779,359.7182
780,361.8065
781,357.198
782,355.6237
783,357.4026
784,356.2296
785,359.6967
786,351.4953
787,356.4491
788,355.9308
789,353.0175
790,355.231
791,356.1682
792,354.432
793,357.1576
794,357.1664
795,351.6392
796,356.1238
797,352.5533
798,358.5494
799,358.1939
800,351.8345
801,354.9282
802,351.8446
803,358.1281
804,355.7152
805,356.9448
806,349.0415
807,351.1668
808,355.1584
809,358.2252
810,359.7671
811,354.1154
812,350.5654
813,351.3195
814,357.1237
815,358.3272
816,355.887
817,356.5618
818,350.3073
819,351.3083
820,351.5491
821,357.3206
822,355.1204
823,350.0418
824,354.8186
825,361.4783
826,357.4932
827,242.7892
828,237.4947
829,233.4955
830,247.4981
831,263.7638
832,279.2279
833,283.1751
834,288.3959
835,300.8614
836,305.658
837,317.8005
838,322.7061
839,323.535
840,336.4636
841,352.4451
842,367.9706
843,353.0428
844,365.8961
